team,elo,attack,defense,recent_form,fifa_rank_proxy,training_temp_c,training_humidity_pct,data_quality,last_updated,notes
England,1980,0.82,0.80,0.78,4,15,70,manual_csv,2026-06-17,High-tier UEFA side; strong qualification profile
Croatia,1855,0.70,0.74,0.67,11,18,65,manual_csv,2026-06-17,Experienced tournament team; strong midfield control
Portugal,1965,0.84,0.76,0.76,6,17,68,manual_csv,2026-06-17,Elite attacking profile
DR Congo,1625,0.48,0.50,0.52,60,26,75,manual_csv,2026-06-17,Physical profile; lower rating prior
Ghana,1705,0.58,0.55,0.51,48,27,78,manual_csv,2026-06-17,Athletic profile; variable recent form
Panama,1585,0.44,0.45,0.55,67,28,80,manual_csv,2026-06-17,CONCACAF side; accustomed to heat/humidity
Uzbekistan,1605,0.46,0.50,0.58,62,27,45,manual_csv,2026-06-17,Improving Asian side
Colombia,1810,0.72,0.68,0.74,14,24,72,manual_csv,2026-06-17,Strong South American side
Czechia,1735,0.60,0.62,0.60,39,17,65,manual_csv,2026-06-17,Structured UEFA side
South Africa,1540,0.42,0.44,0.48,74,20,55,manual_csv,2026-06-17,Lower rating prior
Switzerland,1815,0.68,0.72,0.65,18,16,65,manual_csv,2026-06-17,Stable tournament profile
Bosnia and Herzegovina,1635,0.50,0.49,0.46,65,18,62,manual_csv,2026-06-17,Lower-middle UEFA profile
Canada,1720,0.61,0.55,0.63,37,12,65,manual_csv,2026-06-17,Home-continent advantage
Qatar,1580,0.45,0.43,0.47,70,31,60,manual_csv,2026-06-17,Heat-adapted profile
Mexico,1785,0.66,0.64,0.66,20,22,60,manual_csv,2026-06-17,Home-country advantage
South Korea,1765,0.64,0.61,0.64,23,15,65,manual_csv,2026-06-17,Organized AFC side with strong transition profile
